İL,Eski Rekor Sıcaklık (°C),Eski Rekor Tarihi,Yeni Rekor Sıcaklık (°C),Yeni Rekor Tarihi,Fark (°C)
Kayseri,31.2,23.04.2008,31.7,24.04.2024,0.5
Çorum,30.4,12.04.1998,30.6,24.04.2024,0.2
Sivas,29.0,23.04.2008,29.5,25.04.2024,0.5
Osmaniye,36.5,29.04.1989,36.5,25.04.2024,0.0
Çankırı,31.0,03.04.1952,31.9,26.04.2024,0.9
Gümüşhane,29.0,12.04.1970,30.7,29.04.2024,1.7
Bitlis,22.3,21.04.2021,22.9,29.04.2024,0.6
Kars,25.0,27.04.2008,26.6,29.04.2024,1.6
Şırnak,29.0,24.08.2008,29.8,29.04.2024,0.8
Hakkari,25.0,23.04.2005,25.2,29.04.2024,0.2
Bingöl,30.3,13.04.1970,30.5,29.04.2024,0.2
Erzincan,30.0,23.04.2008,30.3,29.04.2024,0.3
Ağrı,27.2,27.04.2008,27.6,29.04.2024,0.4
Ardahan,25.0,27.04.2008,25.0,29.04.2024,0.0
Bayburt,25.3,24.04.2008,27.1,30.04.2024,1.8